n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,0,0.002,16740,0.4397230379048585,0.7365488982834305,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5266568660736084, 2.7643215656280518, 2.891444206237793, 2.496537923812866, 2.4873998165130615, 2.4778923988342285, 2.952845335006714, 2.6295742988586426, 2.541120767593384, 2.846961736679077, 2.670020818710327, 2.9916932582855225, 2.7600860595703125, 2.9696121215820312, 2.8263585567474365, 2.9668874740600586, 2.7158498764038086, 2.977208375930786, 2.661529779434204, 2.750697612762451, 2.720886707305908, 2.92067813873291, 2.85512113571167, 2.4855663776397705, 2.972557306289673, 2.919083833694458, 2.842986583709717, 2.869337797164917, 2.955653429031372, 2.802584171295166]",pca,Pre-64
1,beta,1,0.002,16740,0.4318188088072555,0.7366229838859406,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.9165029525756836, 2.5794777870178223, 2.9796993732452393, 2.9132165908813477, 2.925267457962036, 2.890878438949585, 2.9450089931488037, 2.6691219806671143, 2.9608821868896484, 2.718635082244873, 2.7916059494018555, 2.9907724857330322, 2.6610171794891357, 2.9388837814331055, 2.5599448680877686, 2.9891839027404785, 2.733081579208374, 2.895128011703491, 2.799367666244507, 2.8853981494903564, 2.662013530731201, 2.598114490509033, 2.605191469192505, 2.8523519039154053, 2.564316511154175, 2.5337276458740234, 2.9686505794525146, 2.9090521335601807, 2.7793662548065186, 2.5572047233581543]",pca,Pre-64
1,beta,28,0.002,16740,0.442042255473613,0.7262069129689583,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.94816255569458, 2.90313720703125, 2.859995126724243, 2.899456739425659, 2.5390219688415527, 2.9650485515594482, 2.9152989387512207, 2.9906961917877197, 2.9299638271331787, 2.7997190952301025, 2.5696656703948975, 2.6710689067840576, 2.8453876972198486, 2.6747419834136963, 2.646657705307007, 2.9463672637939453, 2.5593438148498535, 2.906989097595215, 2.8743269443511963, 2.918107509613037, 2.9392075538635254, 2.6972944736480713, 2.71876859664917, 2.6593570709228516, 2.8698570728302, 2.7013466358184814, 2.9260168075561523, 2.7361578941345215, 2.9566500186920166, 2.804380416870117]",pca,Pre-64
1,beta,18,0.006,16706,0.4155131605441954,0.7712349094837575,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.6195147037506104, 2.785464286804199, 2.508209705352783, 2.6218583583831787, 2.8031208515167236, 2.7696306705474854, 2.8203790187835693, 2.8360493183135986, 2.8015105724334717, 2.782127857208252, 2.70784854888916, 2.830021381378174, 2.4706506729125977, 2.506049394607544, 2.6655073165893555, 2.793311595916748, 2.810481071472168, 2.5647733211517334, 2.8843984603881836, 2.5571157932281494, 2.8034565448760986, 2.875333309173584, 2.8600144386291504, 2.583667755126953, 2.813452959060669, 2.7465462684631348, 2.454360246658325, 2.574842691421509, 2.4137532711029053, 2.820068120956421]",pca,Pre-64
1,beta,10,0.0159,16706,0.4359258533959256,0.7332164650153428,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.3025286197662354, 2.3323476314544678, 2.5114519596099854, 2.4463157653808594, 2.4595344066619873, 2.211735486984253, 2.411161422729492, 2.4609174728393555, 2.4818384647369385, 2.4365015029907227, 2.425058364868164, 2.3461852073669434, 2.3851871490478516, 2.4045119285583496, 2.2392587661743164, 2.210237503051758, 2.511739730834961, 2.3768956661224365, 2.306419610977173, 2.3559694290161133, 2.220780372619629, 2.034815549850464, 2.3323240280151367, 2.297409772872925, 2.406778335571289, 2.4123663902282715, 2.5190210342407227, 2.237593650817871, 2.3280088901519775, 2.453017473220825]",pca,Pre-64
1,beta,48,0.015,16706,0.4921066581092709,0.619447720688431,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.308910369873047, 2.629845380783081, 2.3922982215881348, 2.636481523513794, 2.444676399230957, 2.4937756061553955, 2.4547178745269775, 2.2842164039611816, 2.3770155906677246, 2.553534746170044, 2.357302665710449, 2.3615705966949463, 2.5830142498016357, 2.392134666442871, 2.5261058807373047, 2.5696678161621094, 2.5242760181427, 2.2488951683044434, 2.5922088623046875, 2.527991533279419, 2.6529221534729004, 2.4380486011505127, 2.602667808532715, 2.484720468521118, 2.5067968368530273, 2.446373224258423, 2.5227222442626953, 2.4962642192840576, 2.476829767227173, 2.5389835834503174]",pca,Pre-64
1,beta,46,0.006,16706,0.4646869202528764,0.7045002972502561,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.8330113887786865, 2.846825122833252, 2.4191763401031494, 2.7843480110168457, 2.8454854488372803, 2.737597703933716, 2.795595645904541, 2.771613836288452, 2.8312172889709473, 2.579930067062378, 2.781601905822754, 2.8045284748077393, 2.825319290161133, 2.742661952972412, 2.4038920402526855, 2.4409801959991455, 2.8183555603027344, 2.567718029022217, 2.8046696186065674, 2.4307873249053955, 2.687523365020752, 2.6030068397521973, 2.7989437580108643, 2.6944639682769775, 2.8134851455688477, 2.7008535861968994, 2.714785575866699, 2.6999168395996094, 2.7934560775756836, 2.7782585620880127]",pca,Pre-64
1,beta,29,0.002,16740,0.4297206345700558,0.732298863593461,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.717884063720703, 2.701819896697998, 3.042983293533325, 2.963676691055298, 2.868518352508545, 2.596323251724243, 2.969625949859619, 3.003052234649658, 2.652703046798706, 2.825843095779419, 2.7236859798431396, 2.7638609409332275, 2.861328363418579, 2.955439805984497, 2.7334482669830322, 3.016477108001709, 2.9787373542785645, 2.9789116382598877, 2.6357927322387695, 2.5508134365081787, 2.7047524452209473, 3.016062021255493, 2.782914638519287, 2.940005302429199, 2.6720120906829834, 2.9888916015625, 2.867506504058838, 2.8779473304748535, 2.788987398147583, 2.7582149505615234]",pca,Pre-64
1,beta,12,0.005,16672,0.4438846350311398,0.712201616572117,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.8517048358917236, 2.835813283920288, 2.7228634357452393, 2.6780190467834473, 2.7703254222869873, 2.596832513809204, 2.6967289447784424, 2.7401010990142822, 2.7736873626708984, 2.8026363849639893, 2.615969181060791, 2.558363914489746, 2.824324131011963, 2.584589719772339, 2.8517308235168457, 2.8136868476867676, 2.6899728775024414, 2.782073497772217, 2.7520642280578613, 2.525562047958374, 2.590545177459717, 2.8559467792510986, 2.5297038555145264, 2.7459113597869873, 2.83225154876709, 2.762238025665283, 2.7295711040496826, 2.717594861984253, 2.6365880966186523, 2.7483937740325928]",pca,Pre-64
1,beta,40,0.005,16672,0.4242932803894291,0.7414025498474519,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.662158966064453, 2.777867317199707, 2.728107213973999, 2.7954540252685547, 2.6038570404052734, 2.8859503269195557, 2.6111176013946533, 2.6507394313812256, 2.815627336502075, 2.5592520236968994, 2.781252384185791, 2.648203134536743, 2.813110589981079, 2.8613951206207275, 2.62218976020813, 2.534048557281494, 2.8574187755584717, 2.7761409282684326, 2.8511762619018555, 2.558964967727661, 2.8496856689453125, 2.8512001037597656, 2.4927268028259277, 2.5291662216186523, 2.9010026454925537, 2.7719991207122803, 2.524836301803589, 2.785855531692505, 2.9103572368621826, 2.668855667114258]",pca,Pre-64
