seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
0,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7233211592635316,0.4120953815127349
3,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7272318902963963,0.4058268066791378
1,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7285972493322375,0.4077388550774817
13,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7495650037494935,0.402690238273105
4,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7067346966937131,0.4163209573733968
2,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7133189838747109,0.4006208920677354
20,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7273791920462831,0.3918422235352223
6,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.6942982266902533,0.4185041225291827
24,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7022773526538586,0.4115187584493779
12,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7661661596580858,0.3876044025059903
8,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7319972299705564,0.4032932854341503
5,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7572635817042581,0.3767106457300938
16,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7577438298116931,0.3937368231793809
36,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.6908337522441652,0.4243738730335581
48,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.6319901708891014,0.441993626395398
28,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.739595286723003,0.4091080668914049
32,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.6852447357411798,0.4205626810282934
40,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7320912358519426,0.3954935141910535
17,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7202383401920439,0.4169859695864354
44,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7010557398132989,0.4098844445022583
9,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7387517656227168,0.398070166058961
29,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7408018489779497,0.4022063974536567
10,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7404635949328163,0.3985032980948729
15,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7212030536845544,0.4133809977045283
33,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.733134765285885,0.4020730932279094
21,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7112937210282343,0.4100224776328637
46,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7494904761220894,0.4010222872060455
27,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.6734461992955346,0.4314181932773933
25,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.6791018811786159,0.4218868324598432
11,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7446326343324114,0.4076935722604138
14,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.6662582352609944,0.4279160483905866
18,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.778392581047961,0.3927399790363837
34,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7411018695894663,0.3987470807892422
47,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7882667157255132,0.3744431971366652
37,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.741661634616377,0.4011828330975373
26,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.6965784390556959,0.4179269644982531
7,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.786270756469432,0.3788354158555431
42,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7180064243563722,0.4126597340850905
49,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7254327159292882,0.4154651205270883
45,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.749613527005082,0.3909407865110184
19,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7381520031962967,0.3969138314181041
35,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.785994853238902,0.3837591843950468
31,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7749908980232648,0.3764502971525383
41,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7376242231465929,0.4054391912663507
38,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7145836354147943,0.4000059559497875
43,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7251851179001693,0.4083004520600147
30,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7137712393803098,0.4249666102700736
22,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7095234906661122,0.4144220230843841
39,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7626523772036546,0.3810111501468886
23,beta,1,max,1.0,1.0,pca,none,,max,286.0,50,0.7291458338489281,0.39644329440762505
