n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
1,bernoulli,0,0.002,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8323,0.4053810803959868,0.7137523161459332,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.47606661915779114, 0.47722896933555603, 0.48126891255378723, 0.47920122742652893, 0.4781862795352936, 0.4776536822319031, 0.47812482714653015, 0.47723445296287537, 0.4794512391090393, 0.4767628610134125, 0.4779558479785919, 0.4795650839805603, 0.47782644629478455, 0.4789285361766815, 0.47676557302474976, 0.47822272777557373, 0.4762979745864868, 0.4775971472263336, 0.47721782326698303, 0.47760704159736633, 0.4765676259994507, 0.4754619002342224, 0.4795067608356476, 0.4802776575088501, 0.47874853014945984, 0.4775676131248474, 0.478442907333374, 0.4763911962509155, 0.4776711165904999, 0.47546377778053284]",pca,35
1,bernoulli,28,0.002,train_items_only_refit_v1,train_items_only,1056,none,,32.0,8288,0.430654858687614,0.5781076645505233,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4630306363105774, 0.46204280853271484, 0.4619298279285431, 0.4635116159915924, 0.4612061679363251, 0.46207502484321594, 0.46269491314888, 0.4617251753807068, 0.46317949891090393, 0.46280980110168457, 0.4616428017616272, 0.463068425655365, 0.461885005235672, 0.46282628178596497, 0.4618310332298279, 0.46343544125556946, 0.46060922741889954, 0.4632813036441803, 0.46255069971084595, 0.46325621008872986, 0.4605783522129059, 0.4617924094200134, 0.46165764331817627, 0.4635961651802063, 0.461991548538208, 0.46118679642677307, 0.45981013774871826, 0.46224597096443176, 0.4631781280040741, 0.46092361211776733]",pca,35
1,bernoulli,6,0.004,train_items_only_refit_v1,train_items_only,1056,none,,32.0,8272,0.404070067250021,0.7118764538640476,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4071986973285675, 0.40672779083251953, 0.4075240194797516, 0.4062678813934326, 0.4068376421928406, 0.40707001090049744, 0.40681084990501404, 0.40632879734039307, 0.4074668884277344, 0.4098046123981476, 0.40685030817985535, 0.4060056805610657, 0.40825530886650085, 0.4095621705055237, 0.40687131881713867, 0.4046364724636078, 0.40649521350860596, 0.4066181480884552, 0.4082188308238983, 0.4072522222995758, 0.4078328013420105, 0.404954731464386, 0.40611353516578674, 0.40788790583610535, 0.4086925983428955, 0.4074838161468506, 0.4067381024360657, 0.40760189294815063, 0.40751609206199646, 0.40829184651374817]",pca,35
1,bernoulli,34,0.004,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8309,0.3926125886127999,0.6770689264968441,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.41943976283073425, 0.41751307249069214, 0.4194737374782562, 0.41868025064468384, 0.41712436079978943, 0.4175041913986206, 0.4184838831424713, 0.4176045060157776, 0.4167018234729767, 0.418946236371994, 0.41706904768943787, 0.4170691967010498, 0.4183299243450165, 0.4193699359893799, 0.4179175794124603, 0.41795504093170166, 0.41777169704437256, 0.41847121715545654, 0.41930875182151794, 0.4196301996707916, 0.4185735881328583, 0.4208586812019348, 0.4176720976829529, 0.41777440905570984, 0.41627705097198486, 0.41789674758911133, 0.42100340127944946, 0.42029252648353577, 0.4181402027606964, 0.4195711016654968]",pca,35
1,bernoulli,40,0.005,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8316,0.376041575173801,0.6955934395443293,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.38142719864845276, 0.3811771273612976, 0.37698960304260254, 0.3819967210292816, 0.3815341293811798, 0.38105836510658264, 0.3785566985607147, 0.38070282340049744, 0.38128355145454407, 0.37990355491638184, 0.37900981307029724, 0.38247740268707275, 0.37880420684814453, 0.37886056303977966, 0.38056454062461853, 0.380960613489151, 0.381068617105484, 0.38183319568634033, 0.37903687357902527, 0.3802800476551056, 0.37731537222862244, 0.3815765976905823, 0.3775283396244049, 0.379379004240036, 0.38108161091804504, 0.38286659121513367, 0.37949034571647644, 0.37943223118782043, 0.38329029083251953, 0.37926357984542847]",pca,35
1,bernoulli,1,0.002,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8309,0.4271002122598494,0.573191830844892,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4766055643558502, 0.47674623131752014, 0.47670668363571167, 0.47653868794441223, 0.4755667746067047, 0.4747001528739929, 0.4764110743999481, 0.47837352752685547, 0.4814063310623169, 0.4771338403224945, 0.47618815302848816, 0.4770106077194214, 0.47502607107162476, 0.4773010015487671, 0.4769522547721863, 0.4797075092792511, 0.4760131239891052, 0.47954046726226807, 0.47680535912513733, 0.4769813120365143, 0.47566089034080505, 0.47918927669525146, 0.4762839376926422, 0.47670236229896545, 0.4766365587711334, 0.4770520329475403, 0.4767754077911377, 0.47532302141189575, 0.47693750262260437, 0.47730007767677307]",pca,35
1,bernoulli,29,0.002,train_items_only_refit_v1,train_items_only,1056,none,,32.0,8312,0.3920643229272667,0.6924715909090908,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4838371276855469, 0.4855819642543793, 0.48573794960975647, 0.4822026193141937, 0.48443081974983215, 0.48167961835861206, 0.4824017584323883, 0.48278868198394775, 0.48259878158569336, 0.4830833971500397, 0.48487287759780884, 0.4849379360675812, 0.4823834300041199, 0.48436838388442993, 0.48327189683914185, 0.483085960149765, 0.4830988347530365, 0.48495617508888245, 0.4835314452648163, 0.48563483357429504, 0.48352453112602234, 0.4844217300415039, 0.4827147424221039, 0.4864439368247986, 0.4822245240211487, 0.4823298454284668, 0.4822796881198883, 0.48219603300094604, 0.48179274797439575, 0.4828945994377136]",pca,35
1,bernoulli,14,0.002,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8304,0.3848151741461551,0.6752749859811069,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4808729887008667, 0.48358917236328125, 0.4822094738483429, 0.48176807165145874, 0.48192545771598816, 0.4830646514892578, 0.4803377687931061, 0.4814116358757019, 0.4812152087688446, 0.48305729031562805, 0.4843633770942688, 0.4830213785171509, 0.4817100763320923, 0.48190242052078247, 0.48296692967414856, 0.48100972175598145, 0.4809904992580414, 0.4811061918735504, 0.48183801770210266, 0.4827366769313812, 0.48218458890914917, 0.4831588566303253, 0.48314911127090454, 0.48225879669189453, 0.48252686858177185, 0.4825240969657898, 0.4815138876438141, 0.4804518520832062, 0.48342210054397583, 0.48072052001953125]",pca,35
1,bernoulli,42,0.002,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8308,0.3807563055396738,0.7301768990634755,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4867264926433563, 0.48511242866516113, 0.48516780138015747, 0.487771213054657, 0.4873531758785248, 0.486189603805542, 0.4862165153026581, 0.48538750410079956, 0.4904293119907379, 0.48684024810791016, 0.48624834418296814, 0.4875456392765045, 0.48624521493911743, 0.48830100893974304, 0.4868534207344055, 0.48742610216140747, 0.4860153794288635, 0.4855431318283081, 0.48674139380455017, 0.4867188036441803, 0.4870836138725281, 0.4854004383087158, 0.4864509105682373, 0.4863303303718567, 0.48654115200042725, 0.48649856448173523, 0.4850749373435974, 0.4881613850593567, 0.4884072542190552, 0.4877585768699646]",pca,35
1,bernoulli,7,0.004,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8281,0.3737254935621962,0.7251588097626213,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4082137644290924, 0.4081551134586334, 0.4109511971473694, 0.4081563651561737, 0.4086421728134155, 0.4122360646724701, 0.4091329276561737, 0.4114168584346771, 0.41089388728141785, 0.40827763080596924, 0.41143321990966797, 0.4104507267475128, 0.4092170000076294, 0.40878504514694214, 0.4108126163482666, 0.4090854227542877, 0.41005247831344604, 0.4088085889816284, 0.4088646471500397, 0.4085582494735718, 0.4083247780799866, 0.409207284450531, 0.40965962409973145, 0.41055217385292053, 0.4081530272960663, 0.40930643677711487, 0.4094955027103424, 0.41165754199028015, 0.4085017442703247, 0.41149869561195374]",pca,35
1,bernoulli,20,0.004,train_items_only_refit_v1,train_items_only,1056,none,,32.0,8290,0.3706671219959881,0.7594068333577033,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.40909305214881897, 0.4089720547199249, 0.40808308124542236, 0.4104246497154236, 0.41037192940711975, 0.40794530510902405, 0.4102074205875397, 0.4088975489139557, 0.40948399901390076, 0.4114936590194702, 0.40808558464050293, 0.40950271487236023, 0.41040265560150146, 0.4088524281978607, 0.408989280462265, 0.40872302651405334, 0.4078100919723511, 0.4099475145339966, 0.40867748856544495, 0.4125649631023407, 0.4115242660045624, 0.41068461537361145, 0.4094427525997162, 0.4108942747116089, 0.4089703857898712, 0.40958622097969055, 0.410102903842926, 0.40887001156806946, 0.41341736912727356, 0.41117119789123535]",pca,35
1,bernoulli,35,0.004,train_items_only_refit_v1,train_items_only,1056,none,,32.0,2042,0.4186781985372501,0.5964874063482133,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4363887906074524, 0.43593862652778625, 0.4325050413608551, 0.4350532293319702, 0.432551771402359, 0.43339499831199646, 0.4307396411895752, 0.42946940660476685, 0.4337961971759796, 0.43093010783195496, 0.4315495193004608, 0.4337890148162842, 0.4343640208244324, 0.43568021059036255, 0.43087324500083923, 0.43356579542160034, 0.43485453724861145, 0.4331657588481903, 0.436130166053772, 0.43625858426094055, 0.43308374285697937, 0.43219617009162903, 0.43290194869041443, 0.43495649099349976, 0.4333783984184265, 0.4346160590648651, 0.43595048785209656, 0.4349524676799774, 0.4351835250854492, 0.43547698855400085]",pca,35
