seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
3,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,10,0.5,0.4215722940719713
2,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,20,0.5,0.395331411700915
7,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4352211525421322
6,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.3964661091322437
1,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.3847853757175009
5,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4165344227101831
0,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4314764064292679
10,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4307962677461452
13,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.407963751006573
11,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4178666141534676
16,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4440701203091735
39,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5,0.4354554324103495
15,bernoulli,54,none,0.7,1.0,sae,none,,54,31.0,5,0.5,0.3778854856837598
4,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4251337990796586
38,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,20,0.5,0.4038763577524903
31,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5,0.4176204513637777
43,bernoulli,54,none,0.7,1.0,sae,none,,54,31.0,20,0.5,0.4177986583257218
35,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.5,0.4093187774023061
46,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4161850311222108
19,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.421009535852521
27,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4058137164900357
47,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4329082465737437
26,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,10,0.5,0.4285446922159589
14,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5,0.4122508560955997
23,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.5,0.4108837034454327
42,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4110302468711568
18,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.3974372050630231
34,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,5,0.5,0.4010906891358658
30,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4099242326171731
22,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.3955633242232821
37,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,5,0.5,0.4120663082526001
9,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.5,0.4747380839575441
17,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.395612745140429
25,bernoulli,54,none,0.7,1.0,sae,none,,54,31.0,50,0.5,0.3911801208455905
21,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,5,0.5,0.423020749681144
49,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4572521230273967
33,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5,0.4326623759554126
45,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.3784976604595974
29,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4059046597958804
41,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,50,0.5,0.3989796969750334
40,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.436789941188557
48,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5,0.4180222058204358
12,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,10,0.5,0.4230692173349446
44,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4050866305452429
20,bernoulli,54,none,0.7,1.0,sae,none,,54,30.0,10,0.5,0.3526181161432365
32,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5,0.4168692414259194
28,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4227001632751933
24,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5,0.3956028765177024
36,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,50,0.5,0.4333491107776621
8,bernoulli,54,none,0.7,1.0,sae,none,,54,29.0,20,0.5,0.3994841758914633
