seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl,knn_selection_version
0,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.6098245614035087,0.4096949935565298,2.0
2,beta,54,none,0.3,1.0,raw,none,,54,30.0,50,0.5515503875968992,0.372021429099687,2.0
1,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.5026701440635867,0.3991542614772539,2.0
6,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.4999268149882904,0.3835315568466283,2.0
5,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.5081018518518519,0.4039324347975127,2.0
10,beta,54,none,0.3,1.0,raw,none,,54,29.0,5,0.5264954194359619,0.3826185046295504,2.0
8,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.4988102440008066,0.3974220013116779,2.0
9,beta,54,none,0.3,1.0,raw,none,,54,30.0,10,0.5383074307916464,0.3909522211915031,2.0
20,beta,54,none,0.3,1.0,raw,none,,54,30.0,50,0.4842617041787166,0.3499013544612168,2.0
7,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.6405739379084968,0.4056228418395668,2.0
19,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.6236371810722715,0.3012774944025841,2.0
4,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.6103434854529531,0.4123209911684684,2.0
16,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.4861804668447334,0.4096467259279348,2.0
3,beta,54,none,0.3,1.0,raw,none,,54,29.0,10,0.5783660783660783,0.3793113745010983,2.0
42,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.6137202494590811,0.3691925133461132,2.0
34,beta,54,none,0.3,1.0,raw,none,,54,30.0,50,0.6017411113823122,0.3548358061021786,2.0
36,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.5730296973158195,0.3860798770043924,2.0
14,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.6197505960022006,0.3693790977431461,2.0
45,beta,54,none,0.3,1.0,raw,none,,54,29.0,5,0.6007906976744185,0.3972961496574642,2.0
28,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.4903481206382891,0.4402959244087425,2.0
24,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.5393172690763053,0.4256542436353463,2.0
46,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.5368970013037809,0.3520626113745149,2.0
32,beta,54,none,0.3,1.0,raw,none,,54,29.0,5,0.5875168146354587,0.3692347895899316,2.0
26,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.4823339390268524,0.4074566966141401,2.0
48,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.7232664995822891,0.3333187497445567,2.0
22,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.5902865129280224,0.3293741042868724,2.0
40,beta,54,none,0.3,1.0,raw,none,,54,29.0,10,0.4235507246376812,0.4413375801077061,2.0
12,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.5405405405405405,0.4179575553179207,2.0
30,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.570144346843376,0.3400602089815766,2.0
44,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.6442914515203672,0.3791665235281594,2.0
38,beta,54,none,0.3,1.0,raw,none,,54,30.0,20,0.6790606653620351,0.3513946132336048,2.0
18,beta,54,none,0.3,1.0,raw,none,,54,29.0,10,0.5646561195341683,0.3925305427828549,2.0
11,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.5881121242823372,0.3263811935989864,2.0
15,beta,54,none,0.3,1.0,raw,none,,54,31.0,50,0.6710936525751341,0.3566652220551181,2.0
27,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.6058986010870534,0.4006481923905069,2.0
37,beta,54,none,0.3,1.0,raw,none,,54,30.0,10,0.4474315767973856,0.3766333058375432,2.0
31,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.573291015625,0.3871219151810939,2.0
29,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.607483330578057,0.3542835052221949,2.0
49,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.6154441007512151,0.3399308739717936,2.0
47,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.598158713692946,0.3636856699292908,2.0
23,beta,54,none,0.3,1.0,raw,none,,54,30.0,50,0.468497675556643,0.3716281055252676,2.0
35,beta,54,none,0.3,1.0,raw,none,,54,30.0,10,0.4163198247535596,0.3921613426148373,2.0
17,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.6763788968824939,0.3272637007623281,2.0
43,beta,54,none,0.3,1.0,raw,none,,54,31.0,20,0.6413909579075003,0.3445288655897053,2.0
39,beta,54,none,0.3,1.0,raw,none,,54,29.0,10,0.6882875143184422,0.3028369360670798,2.0
33,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.6049087957215166,0.3448095140803238,2.0
25,beta,54,none,0.3,1.0,raw,none,,54,31.0,50,0.3264893617021276,0.348946470324676,2.0
13,beta,54,none,0.3,1.0,raw,none,,54,29.0,20,0.6648936170212766,0.30943839454406,2.0
41,beta,54,none,0.3,1.0,raw,none,,54,30.0,50,0.5128237259816206,0.450533096793375,2.0
21,beta,54,none,0.3,1.0,raw,none,,54,29.0,50,0.5354966404500234,0.380602216712071,2.0
