seed,model_type,n_samples,pre_revision,j_percentage,mirt_dim,rmse_mirt,auc_mirt,baseline_embedding_type
4,bernoulli,32,none,1.0,30,0.2840782718665411,0.6196667958155754,pca
35,bernoulli,32,none,1.0,30,0.2816021092674523,0.6406251155635434,pca
46,bernoulli,32,none,1.0,30,0.2941389491627487,0.5865378837949888,pca
10,bernoulli,32,none,1.0,30,0.2920090788481507,0.5703877005347594,pca
15,bernoulli,32,none,1.0,30,0.2988674162920025,0.5869906780935198,pca
3,bernoulli,32,none,1.0,30,0.2856034599838253,0.6189146049481244,pca
26,bernoulli,32,none,1.0,30,0.2881658928042409,0.534242799128634,pca
24,bernoulli,32,none,1.0,30,0.29464488885435,0.5546628407460545,pca
32,bernoulli,32,none,1.0,30,0.2923556843354903,0.5359198295244807,pca
16,bernoulli,32,none,1.0,30,0.2942525708881101,0.5607409972299169,pca
23,bernoulli,32,none,1.0,30,0.292144977820954,0.5248716625082452,pca
42,bernoulli,32,none,1.0,30,0.277540942728652,0.5620790075392411,pca
11,bernoulli,32,none,1.0,30,0.2875445953280433,0.6024196851775997,pca
40,bernoulli,32,none,1.0,30,0.3027995254799804,0.5378811612364245,pca
27,bernoulli,32,none,1.0,30,0.2891861419184157,0.5408945117605132,pca
6,bernoulli,32,none,1.0,30,0.2894309505149143,0.5636148382004735,pca
2,bernoulli,32,none,1.0,30,0.2840912671520404,0.5286220871327254,pca
45,bernoulli,32,none,1.0,30,0.2947830732506156,0.5477588670910745,pca
38,bernoulli,32,none,1.0,30,0.2972702356850646,0.625919829225577,pca
48,bernoulli,32,none,1.0,30,0.2836013624782681,0.5785356290802832,pca
18,bernoulli,32,none,1.0,30,0.2778662072265041,0.6165329624118523,pca
30,bernoulli,32,none,1.0,30,0.2828123882988977,0.6030990915058636,pca
47,bernoulli,32,none,1.0,30,0.2873166043567404,0.5500332731248218,pca
0,bernoulli,32,none,1.0,30,0.3036025120545172,0.5005924769873269,pca
43,bernoulli,32,none,1.0,30,0.2942755608755614,0.523208182047906,pca
19,bernoulli,32,none,1.0,30,0.2865379251823171,0.6032125467504058,pca
28,bernoulli,32,none,1.0,30,0.3018948265538705,0.5469373622914699,pca
39,bernoulli,32,none,1.0,30,0.3035065064109887,0.5578267330819825,pca
7,bernoulli,32,none,1.0,30,0.2953640484097329,0.5530264334056954,pca
12,bernoulli,32,none,1.0,30,0.2918274200875378,0.5463871224165342,pca
14,bernoulli,32,none,1.0,30,0.3008696438590363,0.5456866175079723,pca
36,bernoulli,32,none,1.0,30,0.2826031083592079,0.5501576287915617,pca
34,bernoulli,32,none,1.0,30,0.289951837955247,0.5547456496073097,pca
20,bernoulli,32,none,1.0,30,0.2903795651845923,0.6161248534945407,pca
31,bernoulli,32,none,1.0,30,0.2925857201724877,0.6063068920676205,pca
22,bernoulli,32,none,1.0,30,0.30054286080504,0.5484222454672246,pca
44,bernoulli,32,none,1.0,30,0.2873443368695205,0.5588803088803089,pca
5,bernoulli,32,none,1.0,30,0.2828636897637298,0.559945133342159,pca
8,bernoulli,32,none,1.0,30,0.2838340177588425,0.6175853916043361,pca
