seed,model_type,n_samples,pre_revision,j_percentage,rmse_naive,rmse_rasch,rmse_2pl,rmse_mirt,auc_naive,auc_rasch,auc_2pl,auc_mirt,rmse_knn,auc_knn,agent_batch_size,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max
13,bernoulli,32,none,1.0,0.2636324535146426,0.3599657510651897,0.3569076883540735,0.275770263885312,0.5,0.5908946744256599,0.4916710333986044,0.6139096500179266,0.2469489436533266,0.7631863813122259,32,22,2,30
39,bernoulli,32,none,1.0,0.2864632504937047,0.3788369695504605,0.3792408714239378,0.284597712070225,0.5,0.5847798168938233,0.5426212077274672,0.607409171879531,0.2609544240294386,0.8104450612425258,32,2,2,30
7,bernoulli,32,none,1.0,0.2598591829626876,0.3406636224950978,0.3492232380008971,0.2917838485649454,0.5,0.5930436725833227,0.5444706933980334,0.6206662622908952,0.2392885460869021,0.7489584663516793,32,24,2,30
14,bernoulli,32,none,1.0,0.2687690157040229,0.3499251489982225,0.3502484240363727,0.2909968581324986,0.5,0.6306234672782209,0.5381370472978063,0.623567715962068,0.2529389957791896,0.765193300802665,32,14,2,30
20,bernoulli,32,none,1.0,0.2650277069965068,0.3524918775603399,0.3530255287303143,0.2837062444433979,0.5,0.5669452840663747,0.5320230090679169,0.6194790574301401,0.271213190222396,0.7477407316019986,32,17,2,30
47,bernoulli,32,none,1.0,0.2410353280025025,0.318117740413371,0.320625094493681,0.2826542896521191,0.5,0.5988021675064169,0.5442865291377508,0.6349082612415629,0.2542658680002958,0.7228728966631809,32,22,2,30
43,bernoulli,32,none,1.0,0.287373194510889,0.3823021581528495,0.3880211448241483,0.2923347989235536,0.5,0.5545425527670271,0.5170304166832914,0.590249884006098,0.2599978162141936,0.7648093471119446,32,26,2,30
10,bernoulli,32,none,1.0,0.2739900999664884,0.3691246594402578,0.3716664162059048,0.2766673745918026,0.5,0.5911764705882353,0.5404151812240047,0.6171197266785502,0.2549856278165303,0.7518605169340464,32,5,2,30
40,bernoulli,32,none,1.0,0.2693407103936505,0.3492187790155932,0.3517525583030483,0.2981863422982988,0.5,0.6044277360066833,0.5397956697298802,0.6360645803575293,0.2610947586213588,0.7462884642160958,32,24,2,30
16,bernoulli,32,none,1.0,0.2799815342553218,0.3748209645134656,0.3776364433261922,0.2890779774620455,0.5,0.5487673498891414,0.5241560499593403,0.610917658833587,0.2565132986510334,0.7485213063936557,32,19,2,30
31,bernoulli,32,none,1.0,0.2501562941275372,0.3264643676827372,0.3297567213528858,0.2797151514588348,0.5,0.5691735298367289,0.5229600130039012,0.6298403409911862,0.2455016309131399,0.7489479482733709,32,13,2,30
42,bernoulli,32,none,1.0,0.2596189758977534,0.3543987308609715,0.361558376872326,0.2757104545044893,0.5,0.5402067111605487,0.5376266839698431,0.6204810901001112,0.2423902017111037,0.7767156408354963,32,26,2,30
35,bernoulli,32,none,1.0,0.2691743533367525,0.3699120025767545,0.3696366262700553,0.2816021092674523,0.5,0.6162254912837353,0.5644012514144978,0.6406251155635434,0.2620578391153982,0.7728002248404298,32,30,2,30
38,bernoulli,32,none,1.0,0.2793876793776885,0.3717671758946214,0.3709047338062781,0.2972702356850646,0.5,0.5852519148232501,0.5257552183161581,0.625919829225577,0.2912761622863347,0.6814327913951339,32,30,2,30
30,bernoulli,32,none,1.0,0.2579574322080659,0.3496295560840662,0.3647580840605244,0.2609604482781786,0.5,0.574223403651806,0.5442495806015026,0.65545299089885,0.2692167271401364,0.6865411577829826,32,4,2,30
15,bernoulli,32,none,1.0,0.2727825358737753,0.3584234660293865,0.3669461410731743,0.2900878916523549,0.5,0.5868564094821078,0.5106824701796768,0.5992375056620867,0.2442598585796204,0.7914276007851427,32,13,2,30
