seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6920079000243025,0.4302459382470032
20,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6859639942616589,0.4163250734887058
1,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.690311023217588,0.428646352156568
2,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6809412114241413,0.4212536120896597
25,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6424917068576639,0.4415663707263833
8,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7134605512939718,0.4190150738590273
4,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6874606722967378,0.4284122617092309
24,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.676326250949745,0.4283465007354964
3,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6962729061616038,0.4292212297265876
12,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7315699244106667,0.4035810316018735
44,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6636389998127217,0.4311021924687157
16,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7332205045998998,0.406233328697283
28,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6989750435123038,0.4279727881005352
36,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6590254937163375,0.4370457470821241
40,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.714693267563985,0.4083064920335795
48,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.5984031429254302,0.4585850053567621
32,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6315736996234834,0.4462288079185165
5,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7359123465282431,0.3903720608996668
15,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6783218833338603,0.43148516103551
19,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.701982530585253,0.4146695096181935
21,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6599726085124316,0.4332577202313251
6,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6595281241460643,0.4378044397509344
41,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6985052931288336,0.4233775402563905
13,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7026780000990087,0.4237511736366876
17,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.68685219478738,0.432726861213923
23,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7049006144998418,0.4137591564398439
10,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7086750775380964,0.414060988513419
9,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7120281525498028,0.4153889875108874
27,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6357419195712238,0.4487433530267397
7,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7538414083667947,0.3969930383158339
29,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7258158100925396,0.413152937269105
33,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6974426392340497,0.4197411259059044
35,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7591961199178953,0.3981817771214159
45,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7136089523655149,0.4121893674043199
31,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.750445763476005,0.3940690987962433
34,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7280044375469823,0.4089561161163177
43,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.678484606870473,0.4331681508289218
49,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6943464167592718,0.4315888731989409
11,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6788636327376878,0.4306918976453641
39,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7217616116796679,0.4041672282198645
14,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6276547102877414,0.4480183859217775
26,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6535619733660321,0.4381576601825633
37,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.701781345802496,0.4203227059639046
18,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7361822637966666,0.4123601286173217
47,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7514471381143526,0.3898247914874125
46,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7077627742991728,0.4198054839890079
22,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6677442546457987,0.4342711372523877
42,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.7103744797440711,0.4203522184813668
38,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.69516912441257,0.4172909311956868
30,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,2,0.6741074775112442,0.4397622610598156
