seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
3,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5615496437632311,0.3307539099601313
7,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.4972369528619529,0.3433256564547444
6,beta,54,none,1.0,0.1,raw,none,,54,29.0,20,0.5416802288729379,0.3701773320350091
2,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.4967762285616526,0.3344518167728108
1,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6173589299135052,0.3614788874994309
5,beta,54,none,1.0,0.1,raw,none,,54,29.0,20,0.5061440952011382,0.3683615440717408
0,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5202960724093664,0.3778088793017085
4,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5757371177952062,0.3627396309459693
8,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.557999213836478,0.3814647655927415
11,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5656456246602997,0.3381892081270242
18,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5873032778986556,0.3540564978108468
12,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5935189064924181,0.3594411084281362
19,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6534834240475013,0.3506671312080384
39,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5682485481997678,0.3698137997553969
34,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.634808829693103,0.3405642599668372
43,beta,54,none,1.0,0.1,raw,none,,54,31.0,50,0.5429560468199381,0.3547423979836533
31,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5858094810251144,0.3175103151530604
15,beta,54,none,1.0,0.1,raw,none,,54,31.0,50,0.5555705513192524,0.3479087534116866
30,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5790072388831438,0.3477271468491816
23,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5185836584939725,0.3394075202816267
35,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5409589372816273,0.3333508914058445
47,beta,54,none,1.0,0.1,raw,none,,54,29.0,20,0.6181127371663491,0.3428691719455473
27,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5986700316468373,0.344533861024958
42,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.549626932538325,0.3530576384276007
38,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5381696350554481,0.366676746396032
46,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5958278398851642,0.3662655598912275
14,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6042447789309714,0.3429688008336614
22,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5394915667688877,0.3664159785689266
26,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5719799796403122,0.368547821385278
9,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5639271891630382,0.3547074686218593
10,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5379986574606828,0.350189835292281
16,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5486627332022178,0.3749117151287963
25,beta,54,none,1.0,0.1,raw,none,,54,31.0,50,0.5142588108689804,0.3678784666646613
28,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5613008089316754,0.362132296201964
24,beta,54,none,1.0,0.1,raw,none,,54,29.0,5,0.5293032595498273,0.3715949839516233
41,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.6079527103202413,0.333686528492578
49,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5931000659034131,0.3553014927671399
17,beta,54,none,1.0,0.1,raw,none,,54,29.0,20,0.5517350985358371,0.3778264498600338
36,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5565937802421992,0.3745508484373616
44,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6199705539807062,0.3360860074941321
20,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5292383007232425,0.3535487122621364
37,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5785248669362444,0.3410441475177747
21,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5607311482046822,0.3497074884594376
48,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5920966400322638,0.3266650372013661
45,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5528766014716165,0.3755564336351861
40,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5483648017693316,0.3522504644966176
32,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5393420955338657,0.3379667119261461
13,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5942918145804394,0.3583914109042764
29,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5441354903943377,0.3666211691538212
33,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5704378659190236,0.35249503751061817
