seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
42,beta,54,none,1.0,1.0,raw,2,0.2548061270105149,0.608616054875788,0.1280001526334344,0.9549509348706136
42,beta,54,none,1.0,1.0,raw,3,0.2659562793919122,0.6102150537634408,0.1538656461957603,0.9540906368215604
42,beta,54,none,1.0,1.0,raw,4,0.2615465765040416,0.5930277468792485,0.1265639649412356,0.9546856093040832
42,beta,54,none,1.0,1.0,raw,5,0.2616349983008978,0.6062291434927698,0.1285962002939084,0.9563780648117998
42,beta,54,none,1.0,1.0,raw,6,0.2647346131056277,0.5805061179087876,0.1283413763771855,0.9553810838951402
42,beta,54,none,1.0,1.0,raw,7,0.2751897525699492,0.6655620442466939,0.1493650306084232,0.9554976663410396
42,beta,54,none,1.0,1.0,raw,8,0.2894804356055206,0.5637784266468916,0.1884551357285052,0.9566916313904266
42,beta,54,none,1.0,1.0,raw,9,0.2911175798868486,0.6095739092819181,0.1891550491738563,0.9613006580878066
42,beta,54,none,1.0,1.0,raw,10,0.2785608155985115,0.548302125818811,0.1471481226327077,0.957033338559443
42,beta,54,none,1.0,1.0,raw,11,0.2883179199342748,0.516059510567297,0.1709552071150546,0.9570212783064188
42,beta,54,none,1.0,1.0,raw,12,0.2866995345076956,0.6059433320973922,0.157682675367204,0.9569850975473466
42,beta,54,none,1.0,1.0,raw,13,0.2716543091165228,0.6154214559386972,0.1340086798129728,0.9533187806280176
42,beta,54,none,1.0,1.0,raw,14,0.2896641964268425,0.6449565875664318,0.1625375722584413,0.9659619458816244
42,beta,54,none,1.0,1.0,raw,15,0.2885067468760017,0.5721133049066864,0.1546540833512404,0.96762224071461
42,beta,54,none,1.0,1.0,raw,16,0.290604563476498,0.5936186812507726,0.1563631065592771,0.9646755188923862
42,beta,54,none,1.0,1.0,raw,17,0.295765825021545,0.6212767272277839,0.1729180052046692,0.9592363447785136
42,beta,54,none,1.0,1.0,raw,18,0.2927198624404973,0.5691006983067606,0.1563353245939376,0.96374687940953
42,beta,54,none,1.0,1.0,raw,19,0.2925131879792315,0.5397277839574837,0.1549271915637352,0.9625408541071192
42,beta,54,none,1.0,1.0,raw,20,0.2999932010198091,0.5808305524657026,0.1790412809704994,0.963855421686747
42,beta,54,none,1.0,1.0,raw,21,0.278509122818088,0.6009918427882832,0.1395739576822992,0.951614264867277
42,beta,54,none,1.0,1.0,raw,22,0.2946126339736459,0.5327215424545791,0.1522712106888796,0.9638835622771368
42,beta,54,none,1.0,1.0,raw,23,0.2943403941059461,0.5851717958225189,0.1546425508446871,0.9551881198467544
