seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
2,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2615918805656309
3,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2347851026328863
5,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.5784435425643168
1,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2656231066692418
0,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,0.5,0.2926453267475974
6,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.0194174775793566
30,beta,54,none,1.0,1.0,raw,none,,54,3.0,5,0.5,0.2331414583675885
9,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,0.5,0.2694056536189236
4,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3203183499243998
10,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,0.5,0.2499488763392671
12,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.247890122512611
7,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.4790015419873482
38,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2457890592257212
26,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.2624740945431088
34,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2639609835812047
46,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2634055028378245
42,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,0.5,0.2885930011659003
24,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.3593068680241403
19,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,0.5,0.5347690713129112
23,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.3008763051624778
22,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2762295545373933
47,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.2964280176691014
11,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2374933066177817
18,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.2194974510130677
39,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2719409999538892
29,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.2548585639030006
16,beta,54,none,1.0,1.0,raw,none,,54,4.0,5,0.5,0.27470305352123
14,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.2281595618704223
8,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3177066148909491
15,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.3949670933645622
31,beta,54,none,1.0,1.0,raw,none,,54,3.0,50,0.5,0.2479768489003011
48,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.3261403965179574
13,beta,54,none,1.0,1.0,raw,none,,54,3.0,5,0.5,0.2391474410851907
27,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.2528194938607042
36,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,0.5,0.3546479988788708
44,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,0.5,0.3704754949540525
35,beta,54,none,1.0,1.0,raw,none,,54,4.0,10,0.5,0.2801332688147429
20,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2309637492132306
49,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.238447248764528
37,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2432758809564806
45,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.2986921113083912
41,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.1956345382778225
40,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2380390969217904
25,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.2832994757552839
28,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.2941389998230231
32,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.5190216950069855
43,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.2912844242168139
17,beta,54,none,1.0,1.0,raw,none,,54,3.0,20,0.5,0.258005517895968
33,beta,54,none,1.0,1.0,raw,none,,54,4.0,20,0.5,0.2455939864703437
21,beta,54,none,1.0,1.0,raw,none,,54,4.0,50,0.5,0.4159450202451214
