n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,beta,0,0.002,4075,0.2637710949746549,0.7503347683978633,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9809078574180603, 0.8909419775009155, 0.9534315466880798, 0.8802222609519958, 0.9510676860809326, 1.063551425933838, 0.9191514849662781, 1.0617471933364868, 1.0101817846298218, 1.0277464389801025, 0.8913719654083252, 0.9902182817459106, 0.8998730182647705, 0.9439681768417358, 0.8980470299720764, 0.9517133235931396, 1.1209135055541992, 0.9967278242111206, 1.0061661005020142, 0.9822503328323364, 0.9682442545890808, 0.9031164646148682, 0.9663065075874329, 1.061010718345642, 1.0306153297424316, 1.1021842956542969, 0.9869440197944641, 0.8830969929695129, 0.9535406231880188, 0.8790884613990784]",raw,32
54,beta,14,0.014,4097,0.2574939059721546,0.6763979678097041,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.6799875497817993, 0.5391529202461243, 0.5284155011177063, 0.6064814925193787, 0.5379197001457214, 0.5398200154304504, 0.6114395260810852, 0.5733349919319153, 0.6513409614562988, 0.5867480039596558, 0.6108788251876831, 0.5643496513366699, 0.7287342548370361, 0.6640219688415527, 0.6298561096191406, 0.5760586857795715, 0.6081780195236206, 0.5925756692886353, 0.5759320259094238, 0.583758533000946, 0.5341465473175049, 0.5591405034065247, 0.7035912275314331, 0.5648365020751953, 0.5543864369392395, 0.5501428246498108, 0.5639705061912537, 0.5602688193321228, 0.6285719871520996, 0.6546109318733215]",raw,32
54,beta,1,0.002,4126,0.2828033651278174,0.692179205888598,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9066250324249268, 0.9220733046531677, 1.0757561922073364, 1.1084061861038208, 0.9721447825431824, 1.0089926719665527, 0.8986432552337646, 0.907032310962677, 0.8973311185836792, 0.8967623114585876, 0.9089325666427612, 0.8873866200447083, 0.9022903442382812, 0.8915967345237732, 0.8995338082313538, 0.9203265309333801, 0.9727856516838074, 1.055545687675476, 0.9294154644012451, 0.8960309028625488, 0.9914695024490356, 0.9453699588775635, 0.8948407173156738, 1.0888358354568481, 0.9197254776954651, 0.8845149874687195, 0.9824872016906738, 1.0448977947235107, 1.0791300535202026, 0.9678398966789246]",raw,32
54,beta,15,0.014,4191,0.2479010851889575,0.7526423071115809,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5016177296638489, 0.5135505199432373, 0.5442023277282715, 0.6565831303596497, 0.5030416250228882, 0.570999264717102, 0.48205453157424927, 0.58271324634552, 0.5359310507774353, 0.49209821224212646, 0.6323434114456177, 0.6161613464355469, 0.61867356300354, 0.5933091640472412, 0.5210065245628357, 0.568808376789093, 0.608490526676178, 0.5389864444732666, 0.4925905466079712, 0.5352707505226135, 0.48560795187950134, 0.655586302280426, 0.524760901927948, 0.5049476623535156, 0.48514944314956665, 0.5180442929267883, 0.5384536981582642, 0.656857967376709, 0.6790138483047485, 0.5196561813354492]",raw,32
54,beta,36,0.012,4188,0.2502087228413603,0.7250040512072597,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.6750803589820862, 0.6100214123725891, 0.6477177739143372, 0.768121600151062, 0.6063883304595947, 0.5951234698295593, 0.6870318651199341, 0.6184068918228149, 0.6204679608345032, 0.6230081915855408, 0.59454745054245, 0.7428777813911438, 0.6030439734458923, 0.6526961326599121, 0.7117725014686584, 0.6048493981361389, 0.6361337304115295, 0.6252679824829102, 0.6015597581863403, 0.6176347732543945, 0.6167904734611511, 0.5989457964897156, 0.6033127307891846, 0.6571645736694336, 0.6318840980529785, 0.6223034262657166, 0.7037354111671448, 0.6753641963005066, 0.5640506148338318, 0.6172150373458862]",raw,32
54,beta,37,0.012,4063,0.2535718476385073,0.7219154449713794,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.7586160898208618, 0.5876210331916809, 0.5753412842750549, 0.5677170753479004, 0.6783530712127686, 0.5712457895278931, 0.5632641315460205, 0.6957335472106934, 0.6593899726867676, 0.5732845664024353, 0.612786591053009, 0.6589722633361816, 0.6477490663528442, 0.6604276895523071, 0.5933443903923035, 0.6436987519264221, 0.6340400576591492, 0.6596574783325195, 0.662331759929657, 0.5886973142623901, 0.7252535820007324, 0.6402277946472168, 0.7866895198822021, 0.7584007978439331, 0.6246746778488159, 0.6026239395141602, 0.6376035809516907, 0.6197479963302612, 0.6113004684448242, 0.561123788356781]",raw,32
54,beta,12,0.005,4151,0.2723097569780791,0.6461923688394278,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8179559707641602, 0.8556250333786011, 0.9139388799667358, 0.8204696178436279, 0.9803435802459717, 0.8257217407226562, 0.9635182023048401, 0.9369810223579407, 0.9784356355667114, 0.8303616642951965, 0.9146842956542969, 0.8646674752235413, 0.8162497282028198, 0.8552699089050293, 0.8551896214485168, 0.8787378668785095, 0.9221737384796143, 0.818179190158844, 0.8592140078544617, 0.9522707462310791, 0.9868440628051758, 0.8467234373092651, 0.857403039932251, 0.8174130916595459, 0.8771781325340271, 0.8984795808792114, 0.8833528757095337, 0.9223178625106812, 0.9788919687271118, 0.8671862483024597]",raw,32
54,beta,20,0.015,4119,0.2401059357846194,0.7343701807414719,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5163106918334961, 0.4997749924659729, 0.49907922744750977, 0.5042857527732849, 0.5245919227600098, 0.554111897945404, 0.5950148701667786, 0.506137490272522, 0.5031678080558777, 0.522620677947998, 0.5002544522285461, 0.635205864906311, 0.5126283168792725, 0.49690908193588257, 0.48690202832221985, 0.5784916281700134, 0.4941650331020355, 0.5196686387062073, 0.5047781467437744, 0.5296657085418701, 0.5130947828292847, 0.5118794441223145, 0.537103533744812, 0.4845229685306549, 0.5274866819381714, 0.4941404461860657, 0.5768153071403503, 0.5859086513519287, 0.5483869314193726, 0.49785372614860535]",raw,32
54,beta,48,0.015,4213,0.2534255245309809,0.6779974478001146,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.6750718355178833, 0.4967764914035797, 0.5080140829086304, 0.5035083293914795, 0.5098333954811096, 0.5236238241195679, 0.5859909057617188, 0.5350337624549866, 0.5232637524604797, 0.538577139377594, 0.5502569079399109, 0.509614109992981, 0.5062932372093201, 0.5609309673309326, 0.4990871846675873, 0.52390456199646, 0.5124834179878235, 0.6333601474761963, 0.5170605778694153, 0.5244215130805969, 0.4908418357372284, 0.6543792486190796, 0.6207510828971863, 0.5339326858520508, 0.5705121159553528, 0.5433505773544312, 0.4972616136074066, 0.5365462899208069, 0.5149111151695251, 0.5083811283111572]",raw,32
54,beta,18,0.006,4212,0.2438635512714387,0.7164086485074139,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8534255623817444, 0.7943294048309326, 0.8442747592926025, 0.8849589824676514, 0.8582919239997864, 0.8173755407333374, 0.7789728045463562, 0.9542558193206787, 0.9241459369659424, 0.8085145950317383, 0.8523361682891846, 0.923899233341217, 0.7767658829689026, 0.8036458492279053, 0.8994745016098022, 0.7893291711807251, 0.7709179520606995, 0.8701518774032593, 0.814455509185791, 0.811698853969574, 0.7707399725914001, 0.9503099918365479, 0.8387916088104248, 0.8403235673904419, 0.7951388359069824, 0.8377209901809692, 0.7827380299568176, 0.8292189240455627, 0.8072067499160767, 0.7836873531341553]",raw,32
