n_samples,model_type,seed,lambda_tau,rmse_naive,rmse_rasch,rmse_amortized,auc_naive,auc_rasch,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,bernoulli,5,0.00755,0.45300947558259,0.4636981053633872,0.4666606273288717,0.5,0.581827760787438,0.5544062090411452,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2861091196537018, 0.2948860824108124, 0.2872801721096039, 0.29143989086151123, 0.29722607135772705, 0.2867583930492401, 0.28809165954589844, 0.2838398814201355, 0.297514945268631, 0.29538869857788086, 0.2853392958641052, 0.2978178560733795, 0.29717981815338135, 0.2967012822628021, 0.295376718044281, 0.2932640016078949, 0.2953088879585266, 0.29617708921432495, 0.28924891352653503, 0.287380188703537, 0.29061055183410645, 0.29121243953704834, 0.2918536365032196, 0.29530084133148193, 0.2876182198524475, 0.2927429676055908, 0.28389760851860046, 0.29829052090644836, 0.2878345251083374, 0.29238277673721313]",raw,Pre-8
1,bernoulli,2,0.00755,0.4552987345733417,0.50490683640483,0.4594016106352266,0.5,0.5342613444252349,0.6165574701277823,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2926245629787445, 0.29081013798713684, 0.2883059084415436, 0.2905586361885071, 0.29024192690849304, 0.28933781385421753, 0.28750258684158325, 0.290189653635025, 0.29013967514038086, 0.285981148481369, 0.2833728492259979, 0.29193809628486633, 0.29134389758110046, 0.2857721447944641, 0.2845305800437927, 0.2916128933429718, 0.28912419080734253, 0.28486257791519165, 0.2929535210132599, 0.2840786576271057, 0.292293906211853, 0.2840711176395416, 0.29120856523513794, 0.28561505675315857, 0.2873208224773407, 0.29232311248779297, 0.2912801504135132, 0.28991037607192993, 0.290714293718338, 0.2869615852832794]",raw,Pre-8
1,bernoulli,1,0.00755,0.4579601954452164,0.4658677658766056,0.4565527767005047,0.5,0.6247639193170658,0.6289881896703684,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2944701313972473, 0.29297712445259094, 0.27911293506622314, 0.2872936725616455, 0.28100454807281494, 0.2908813953399658, 0.2741073668003082, 0.2973717153072357, 0.29377397894859314, 0.2894405126571655, 0.2955755591392517, 0.28781136870384216, 0.29590389132499695, 0.29532089829444885, 0.2888234555721283, 0.2772880792617798, 0.2766622304916382, 0.2923091948032379, 0.2739449739456177, 0.29248687624931335, 0.27955836057662964, 0.2933497726917267, 0.2877872884273529, 0.29210638999938965, 0.27876079082489014, 0.29320910573005676, 0.2959245443344116, 0.276037335395813, 0.2880975604057312, 0.29376375675201416]",raw,Pre-8
1,bernoulli,4,0.00755,0.4453544262339847,0.4568907040716319,0.4503821525206939,0.5,0.5834661149803397,0.6076687826064608,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.28301069140434265, 0.282826691865921, 0.28981801867485046, 0.2831752896308899, 0.2895365357398987, 0.28854334354400635, 0.29006078839302063, 0.28196004033088684, 0.28310108184814453, 0.28796783089637756, 0.28904440999031067, 0.28215381503105164, 0.28670790791511536, 0.28910812735557556, 0.28917014598846436, 0.28889700770378113, 0.28855809569358826, 0.288674533367157, 0.2823144495487213, 0.2876802086830139, 0.2893902659416199, 0.28926411271095276, 0.28929242491722107, 0.2830067276954651, 0.2900156080722809, 0.2897355556488037, 0.28797248005867004, 0.2883986830711365, 0.2841176986694336, 0.2882258892059326]",raw,Pre-8
1,bernoulli,3,0.00755,0.4522740496498039,0.4565758841169685,0.4580169709353435,0.5,0.5788607409203131,0.6070200509087662,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.29546162486076355, 0.2989451587200165, 0.27808526158332825, 0.29723912477493286, 0.2986036539077759, 0.29901209473609924, 0.2982841730117798, 0.29918643832206726, 0.2991059124469757, 0.2985607087612152, 0.29739734530448914, 0.29813045263290405, 0.297793447971344, 0.2996393144130707, 0.29729706048965454, 0.2814735174179077, 0.2991349697113037, 0.2981026768684387, 0.27780675888061523, 0.298713743686676, 0.2965703308582306, 0.29740872979164124, 0.2979550361633301, 0.2982240617275238, 0.29870253801345825, 0.29775047302246094, 0.29895874857902527, 0.29737505316734314, 0.29990828037261963, 0.2980843782424927]",raw,Pre-8
1,bernoulli,10,0.00755,0.45277491561626,0.4679423049307104,0.4434590668706117,0.5,0.558697975708502,0.6476437246963561,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.29158830642700195, 0.29180705547332764, 0.28592053055763245, 0.292411208152771, 0.2936567962169647, 0.2912837862968445, 0.2850920259952545, 0.2904973030090332, 0.2901464104652405, 0.2864527702331543, 0.2927757501602173, 0.2906017005443573, 0.28941625356674194, 0.2859678566455841, 0.2923283874988556, 0.2865085303783417, 0.28526926040649414, 0.2915988266468048, 0.2908923923969269, 0.2871132493019104, 0.2921004295349121, 0.29190900921821594, 0.29066306352615356, 0.29069381952285767, 0.2927270233631134, 0.2893465459346771, 0.2857798933982849, 0.29177844524383545, 0.2928074598312378, 0.29255419969558716]",raw,Pre-8
1,bernoulli,16,0.00755,0.4495324573626595,0.4729434000209082,0.4787640919117857,0.5,0.5572473185018523,0.5846280168874579,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.28641435503959656, 0.2803577780723572, 0.27661725878715515, 0.28741776943206787, 0.2798934876918793, 0.28015369176864624, 0.2841096520423889, 0.28776708245277405, 0.28721383213996887, 0.2874768078327179, 0.2804197072982788, 0.28760048747062683, 0.2859361171722412, 0.2875711917877197, 0.2766898274421692, 0.2793634831905365, 0.2834511399269104, 0.2801448702812195, 0.2858450710773468, 0.28742170333862305, 0.2827715575695038, 0.28418394923210144, 0.28102990984916687, 0.28930211067199707, 0.28718507289886475, 0.2862693965435028, 0.28639692068099976, 0.2844216227531433, 0.278425931930542, 0.2878133952617645]",raw,Pre-8
1,bernoulli,0,0.00755,0.4569741400877083,0.5117372989932661,0.4453837689037801,0.5,0.5590699130979409,0.6689436050001305,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2873249053955078, 0.28429320454597473, 0.2865600883960724, 0.2869386374950409, 0.2839744985103607, 0.2697354853153229, 0.28803545236587524, 0.28567519783973694, 0.2868560254573822, 0.288661926984787, 0.2885074019432068, 0.2768024206161499, 0.28871428966522217, 0.28413689136505127, 0.2847517728805542, 0.27932238578796387, 0.2848260700702667, 0.28468120098114014, 0.2900198698043823, 0.27285128831863403, 0.2833915948867798, 0.28654855489730835, 0.2845263183116913, 0.2843701243400574, 0.2835313379764557, 0.2812534272670746, 0.2869519591331482, 0.2843376398086548, 0.28524890542030334, 0.28372079133987427]",raw,Pre-8
1,bernoulli,9,0.00755,0.4638843894579755,0.462004235399946,0.453865744774539,0.5,0.5987027689690329,0.6660974862239568,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2888346314430237, 0.2945127785205841, 0.29369696974754333, 0.2918250560760498, 0.29353150725364685, 0.2950909733772278, 0.29270169138908386, 0.2941206693649292, 0.2822190821170807, 0.29454973340034485, 0.28910553455352783, 0.29407405853271484, 0.289789617061615, 0.29225853085517883, 0.2939346730709076, 0.29261425137519836, 0.2811131775379181, 0.2931308150291443, 0.2938789427280426, 0.29320457577705383, 0.29427310824394226, 0.29424038529396057, 0.2929171919822693, 0.2835676074028015, 0.29309529066085815, 0.28383368253707886, 0.2946133315563202, 0.29454055428504944, 0.2939642071723938, 0.2911035120487213]",raw,Pre-8
1,bernoulli,6,0.00755,0.4529465784474014,0.4599726649123655,0.4625981207457311,0.5,0.5846491228070175,0.6048496240601504,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.29106056690216064, 0.2910504639148712, 0.29335150122642517, 0.29187119007110596, 0.2932102382183075, 0.29357555508613586, 0.2932221293449402, 0.29262542724609375, 0.29296642541885376, 0.2929432988166809, 0.2924307584762573, 0.2929682731628418, 0.2871165871620178, 0.2932487428188324, 0.28758129477500916, 0.292682945728302, 0.2922462224960327, 0.2914084792137146, 0.2753950357437134, 0.29272133111953735, 0.2766938805580139, 0.2883722186088562, 0.2928521931171417, 0.28207331895828247, 0.2773389518260956, 0.29463258385658264, 0.293583482503891, 0.2915908992290497, 0.2915661334991455, 0.29114916920661926]",raw,Pre-8
1,bernoulli,15,0.00755,0.4543816307822383,0.5128941323014422,0.4528453720460698,0.5,0.585825726782574,0.6568388098351574,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2776787579059601, 0.27641385793685913, 0.2774903178215027, 0.2795013189315796, 0.2785162031650543, 0.2803365886211395, 0.2766430079936981, 0.27733439207077026, 0.2785314619541168, 0.2776391804218292, 0.2770102918148041, 0.2779283821582794, 0.2779860198497772, 0.2797228693962097, 0.2761257290840149, 0.2800610065460205, 0.2797507345676422, 0.2778191864490509, 0.2793157398700714, 0.2795267105102539, 0.2729332447052002, 0.27376341819763184, 0.2803001403808594, 0.2769170105457306, 0.2775197923183441, 0.2768588662147522, 0.2787582576274872, 0.27761995792388916, 0.2794923186302185, 0.2769702076911926]",raw,Pre-8
1,bernoulli,25,0.00755,0.4563372959599303,0.4816159145330914,0.4604968373017113,0.5,0.5782212130541872,0.6147372742200329,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.28632646799087524, 0.28801169991493225, 0.2924852967262268, 0.2870463728904724, 0.292274534702301, 0.27956217527389526, 0.28694695234298706, 0.2826671600341797, 0.2879522740840912, 0.28036797046661377, 0.2882256507873535, 0.2870912253856659, 0.2923387885093689, 0.28943753242492676, 0.28041788935661316, 0.287402480840683, 0.2936517596244812, 0.2932189404964447, 0.2917819619178772, 0.27942097187042236, 0.2875319719314575, 0.28074419498443604, 0.28251680731773376, 0.28758084774017334, 0.2895861864089966, 0.2870047688484192, 0.2898927330970764, 0.2866460978984833, 0.2893442213535309, 0.2819543182849884]",raw,Pre-8
1,bernoulli,29,0.00755,0.4608804538146491,0.4635369339890639,0.4604826315349479,0.5,0.6134576773685099,0.6270867343428468,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2780895531177521, 0.29865583777427673, 0.2935725450515747, 0.2998062074184418, 0.27797240018844604, 0.30050334334373474, 0.2800201177597046, 0.2789681553840637, 0.28124383091926575, 0.2923246920108795, 0.30060091614723206, 0.28369951248168945, 0.2819608151912689, 0.28028765320777893, 0.29893743991851807, 0.2995629906654358, 0.30075061321258545, 0.29642611742019653, 0.2973281145095825, 0.2973199486732483, 0.29716023802757263, 0.2907046675682068, 0.28355732560157776, 0.29980921745300293, 0.2980867028236389, 0.2972677946090698, 0.29887863993644714, 0.2970793843269348, 0.2984577715396881, 0.3012832999229431]",raw,Pre-8
