n_samples,model_type,seed,lambda_tau,rmse_naive,rmse_rasch,rmse_amortized,auc_naive,auc_rasch,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,1,0.0145,0.4481876980109915,0.4283414391048772,0.4160384588288236,0.5,0.6490730648525738,0.7687929876158082,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.139805316925049, 2.1495890617370605, 2.376390218734741, 2.2080767154693604, 1.9213151931762695, 2.1892809867858887, 2.1461856365203857, 1.6664440631866455, 2.178297758102417, 1.6602261066436768, 2.15631365776062, 2.1346518993377686, 2.235299825668335, 1.9535225629806519, 2.1470189094543457, 2.2103216648101807, 2.4171693325042725, 2.3575246334075928, 2.2094318866729736, 1.9556748867034912, 1.9343236684799194, 2.18737530708313, 1.7761828899383545, 2.084200143814087, 1.6949784755706787, 2.00909686088562, 2.2236952781677246, 1.7278238534927368, 2.0148227214813232, 1.738747477531433]",raw,Pre-max
1,beta,3,0.0145,0.4452025294457389,0.4274904609474789,0.4157515390554581,0.5,0.6667685097865625,0.7563313141130505,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.7959257364273071, 1.9452857971191406, 2.0946531295776367, 2.052734375, 2.131741762161255, 2.141846179962158, 2.3444583415985107, 2.059257745742798, 1.838149905204773, 1.8377385139465332, 2.168962001800537, 2.2566370964050293, 1.8346562385559082, 2.15541410446167, 2.1955060958862305, 2.1828536987304688, 2.1907079219818115, 2.1476564407348633, 1.6361085176467896, 2.011692762374878, 1.6415168046951294, 1.6682298183441162, 1.8088957071304321, 2.0321877002716064, 2.4114463329315186, 1.9868360757827759, 2.2958874702453613, 2.1281931400299072, 1.8304568529129028, 2.0486340522766113]",raw,Pre-max
1,beta,0,0.0145,0.4394681800806581,0.4216308240332752,0.4086789365117145,0.5,0.6612332099589208,0.7633944953510716,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.1868107318878174, 2.1038401126861572, 2.1313881874084473, 1.883126139640808, 2.141862154006958, 2.276561737060547, 1.920284628868103, 1.9930120706558228, 2.153930902481079, 1.648704171180725, 2.3058269023895264, 1.8780837059020996, 2.183654546737671, 1.8034610748291016, 1.9467567205429077, 1.6184983253479004, 2.1654865741729736, 1.9222415685653687, 1.8211790323257446, 2.186540365219116, 2.1595473289489746, 2.160402297973633, 2.147020101547241, 2.108520984649658, 2.0905942916870117, 2.153348207473755, 2.157705545425415, 2.1284642219543457, 2.299764394760132, 1.8578674793243408]",raw,Pre-max
1,beta,2,0.0145,0.4427614928099603,0.4361020813231211,0.4320418620401439,0.5,0.6082169251142723,0.7105002349523688,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.0874416828155518, 2.1228811740875244, 2.2044878005981445, 1.8712575435638428, 1.9791314601898193, 2.211987018585205, 1.9777190685272217, 1.7053382396697998, 2.1755096912384033, 1.7430938482284546, 2.2139103412628174, 2.1442039012908936, 2.3433969020843506, 2.0942084789276123, 2.0593149662017822, 2.0568230152130127, 2.348517417907715, 2.171180248260498, 2.0075461864471436, 2.2382314205169678, 1.743881106376648, 1.813293218612671, 2.1943750381469727, 2.205165386199951, 1.953993320465088, 2.1346218585968018, 1.6998655796051025, 1.6657145023345947, 1.7451330423355103, 2.225986957550049]",raw,Pre-max
1,beta,4,0.0145,0.4430307355028679,0.4173286027919515,0.402359582533936,0.5,0.6937872263487259,0.7798329514827367,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.164440631866455, 1.7870213985443115, 2.0011494159698486, 2.1910128593444824, 2.1560440063476562, 2.1523168087005615, 2.1014161109924316, 1.8414416313171387, 2.1901392936706543, 1.6831488609313965, 1.9265542030334473, 1.779127597808838, 1.863682746887207, 1.8038599491119385, 2.1412060260772705, 1.9671077728271484, 2.173675060272217, 2.1281778812408447, 1.9311634302139282, 2.2025511264801025, 2.177000045776367, 1.9208471775054932, 2.1152749061584473, 2.06866717338562, 2.149216413497925, 2.1639702320098877, 2.1824114322662354, 1.6909860372543335, 2.191319704055786, 2.1386778354644775]",raw,Pre-max
1,beta,7,0.0145,0.4549605418220163,0.4449950810224857,0.4335960525589024,0.5,0.6166372068718979,0.7378631619257462,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.105806589126587, 2.1612279415130615, 2.213892936706543, 2.23962664604187, 1.9063358306884766, 2.1747303009033203, 2.2071690559387207, 2.206652879714966, 2.1631553173065186, 1.6249629259109497, 1.8711997270584106, 2.0987117290496826, 1.7381800413131714, 2.012089252471924, 2.1020212173461914, 1.8721410036087036, 1.9094310998916626, 2.020723342895508, 2.100550413131714, 1.5905181169509888, 2.24306058883667, 1.8382426500320435, 2.180055856704712, 1.9415795803070068, 2.136906385421753, 2.029130697250366, 1.9129732847213745, 2.0254881381988525, 2.1621034145355225, 2.061260223388672]",raw,Pre-max
1,beta,5,0.0145,0.4410548879413319,0.4251213910141176,0.4260979795508299,0.5,0.6630307772802219,0.7258890851401165,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.1032345294952393, 2.1445939540863037, 2.1247925758361816, 2.253148317337036, 1.6716539859771729, 1.9908812046051025, 2.1386303901672363, 1.7477666139602661, 2.1681456565856934, 1.8732798099517822, 1.9694890975952148, 1.769770860671997, 2.156310558319092, 1.7503775358200073, 1.8138532638549805, 2.012199878692627, 2.2096078395843506, 2.157020330429077, 1.9130092859268188, 2.113204002380371, 2.098801374435425, 1.8489950895309448, 2.0546374320983887, 2.0540215969085693, 2.1209938526153564, 2.0872578620910645, 1.9000533819198608, 2.3324942588806152, 1.8580318689346313, 2.1350197792053223]",raw,Pre-max
1,beta,6,0.0145,0.4500325667994648,0.4406470800508422,0.4363952721656973,0.5,0.6445202172161776,0.7345331744814667,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.204793691635132, 2.1336586475372314, 2.0278077125549316, 2.1081454753875732, 2.172929525375366, 1.9765434265136719, 2.2198073863983154, 2.332294225692749, 2.23345947265625, 2.0113494396209717, 1.8899866342544556, 2.2191672325134277, 1.6154356002807617, 2.017246961593628, 2.0997817516326904, 1.9963936805725098, 2.1981561183929443, 1.9681313037872314, 1.6462587118148804, 2.0902862548828125, 2.0686306953430176, 2.089264154434204, 1.8513567447662354, 2.0431063175201416, 1.9695448875427246, 1.9667439460754395, 2.1168904304504395, 1.775062918663025, 1.9451680183410645, 2.10563325881958]",raw,Pre-max
1,beta,9,0.0145,0.4475733435587308,0.4342605343948081,0.4461605128954124,0.5,0.6327539323030077,0.7064490798050908,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.1242380142211914, 1.8127068281173706, 2.0943570137023926, 2.1683144569396973, 1.8858827352523804, 1.9233183860778809, 2.0625243186950684, 2.3363325595855713, 2.1915907859802246, 1.9245530366897583, 2.196186065673828, 1.6317838430404663, 2.0222983360290527, 2.1248722076416016, 2.175597906112671, 1.8966104984283447, 1.9924850463867188, 1.8144025802612305, 2.159945011138916, 2.1554629802703857, 2.1255695819854736, 2.301703453063965, 1.8544176816940308, 2.1550192832946777, 1.6137315034866333, 2.1634926795959473, 2.0376553535461426, 1.9771994352340698, 1.7188189029693604, 1.9182775020599365]",raw,Pre-max
1,beta,10,0.0145,0.4446673990935385,0.4379279734110358,0.4083888895167435,0.5,0.6341088420953458,0.7708286225739589,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.227038621902466, 2.196721076965332, 2.082834243774414, 1.8920480012893677, 1.9923001527786255, 2.1460812091827393, 2.0468332767486572, 1.9167115688323975, 2.160288095474243, 2.206622838973999, 1.868580937385559, 2.1150152683258057, 2.2151784896850586, 1.91065514087677, 1.6549981832504272, 1.9651978015899658, 2.2427008152008057, 2.317981004714966, 2.1580731868743896, 1.6400554180145264, 2.0449540615081787, 1.7827317714691162, 2.111642360687256, 2.0894596576690674, 2.1620991230010986, 2.266831398010254, 2.1382062435150146, 2.2147791385650635, 2.220093250274658, 2.259629487991333]",raw,Pre-max
1,beta,13,0.0145,0.4497602433357612,0.434970525696706,0.4596379435814693,0.5,0.6344565807217653,0.6704830572673496,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.1751139163970947, 2.0853898525238037, 1.7278157472610474, 2.2462470531463623, 2.058077096939087, 2.01872181892395, 2.1307425498962402, 2.0831212997436523, 1.9235212802886963, 2.142453193664551, 2.0108580589294434, 1.868375539779663, 1.908071756362915, 1.8804819583892822, 2.342711925506592, 2.1540677547454834, 1.7528620958328247, 2.1399996280670166, 2.134049654006958, 2.1974503993988037, 1.857433795928955, 2.1638343334198, 2.068202018737793, 2.162440061569214, 2.1791181564331055, 2.354553461074829, 1.8648515939712524, 2.088930368423462, 2.0334975719451904, 1.665277123451233]",raw,Pre-max
1,beta,11,0.0145,0.4545355742908761,0.4389685268905289,0.4507349383862794,0.5,0.6264687383858888,0.7027795248577717,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.137317419052124, 2.10640549659729, 1.68282949924469, 2.2566442489624023, 2.0373334884643555, 2.0705761909484863, 2.215156078338623, 2.116105556488037, 2.0686841011047363, 2.0863780975341797, 2.0165939331054688, 2.300008773803711, 1.7511370182037354, 2.211892604827881, 2.1118152141571045, 2.1980581283569336, 2.1718897819519043, 2.184974193572998, 2.2106432914733887, 1.9664616584777832, 2.0257294178009033, 2.0263679027557373, 2.083012342453003, 2.089331865310669, 2.095465898513794, 2.1777689456939697, 2.3205111026763916, 1.7109018564224243, 2.151068925857544, 1.6528372764587402]",raw,Pre-max
1,beta,8,0.0145,0.4552834829222927,0.438935937661692,0.4279056188865247,0.5,0.646607179912845,0.7536749066196307,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.1264257431030273, 1.820871114730835, 2.3107357025146484, 1.9910954236984253, 2.172683000564575, 1.7142994403839111, 2.1652283668518066, 2.080565929412842, 1.7616041898727417, 2.1902005672454834, 2.1786985397338867, 1.9487724304199219, 2.2007293701171875, 2.055227756500244, 1.9670629501342773, 2.1687796115875244, 2.0137884616851807, 1.9255223274230957, 2.059103012084961, 1.9755805730819702, 1.979366660118103, 2.1536715030670166, 2.2076618671417236, 2.014554977416992, 2.1223413944244385, 2.0070548057556152, 1.8087056875228882, 1.5931837558746338, 1.7057887315750122, 1.8113619089126587]",raw,Pre-max
