seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
3,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5256307849974958,0.4761787808350138
6,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4090929188168341,0.4696580991597545
2,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,10,0.57519388785676,0.4570288209769101
1,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.522529185389031,0.464984327585409
7,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4489308495518994,0.4832562169949466
0,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4592477169746015,0.4786295385426979
5,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4453697363916467,0.481145366837228
8,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.504026733476346,0.4613129654476152
4,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,10,0.4645100231783005,0.4846586811836801
15,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4943223443223443,0.4535775719785494
30,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4645916936199444,0.4792697957914857
11,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4888569339743682,0.4775416836344859
42,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5293485441980326,0.4664270380393848
38,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4847550282166452,0.4824246086012269
27,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4916825138720465,0.4798376388930805
34,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4849774339136041,0.4749943619945614
46,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4444027415143603,0.4759104442107271
10,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4805225988700565,0.4790406441477577
14,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5049885070052539,0.4677017889719008
26,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5446847022772336,0.46521425307773
19,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5044691750574103,0.4718507728925646
18,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5057220198898822,0.4787963044007212
22,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5872304115051413,0.4741320152085556
31,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,5,0.5447925782807891,0.4707900952287822
39,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4820890603010726,0.464175521368335
47,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4654067986933443,0.4840511808555738
23,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4794811176968671,0.4755858748355644
35,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4821949003731434,0.4651642343734757
43,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5455919663691247,0.4772521641304022
13,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5880928571702241,0.4688239516098073
25,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4240261842939979,0.4788498470329255
28,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.537152057341489,0.4807740458834214
21,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.513011036430902,0.4610207046153957
33,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4613303897957362,0.4813846449320364
49,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5515137846012186,0.4662935903642055
9,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5594169372294372,0.4626554382585067
17,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5894362783223817,0.4629269839143399
12,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5064543227989635,0.4777365122238101
29,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5341853166218794,0.4803648580482599
24,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.540781026362832,0.4621816267474762
37,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5413391931801358,0.4695042105710391
48,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5310248952294828,0.4681754564817257
32,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4760574782432706,0.4754769985750868
40,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,5,0.5048493080709576,0.4849083794002951
41,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5213546998824555,0.4758490240123312
16,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4905272389947714,0.4855188277254363
20,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4763294311980298,0.4705617066993668
36,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4926408001134913,0.4788048940317622
44,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5086730993688171,0.469168635031646
45,beta,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,0.585759694850604,0.4712067754739239
