seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_naive,rmse_naive
3,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4561492691148754
2,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4316271266293826
1,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4755414906750482
6,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4535393300461349
0,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4805789759045745
4,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4947902796541817
12,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4829205703769568
11,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4376446110281941
10,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4337159577403561
30,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.477688444211257
42,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4806829455780771
14,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4911492765945766
38,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4692267219000906
7,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4282226388511523
22,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4320089227518738
18,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4814614066941028
46,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4841687009241218
34,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.460005707394396
26,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.522792076628548
35,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4914183131497592
39,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4318356483351534
27,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4520403772006914
23,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4015156826231973
19,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4673964508400563
31,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4370761418940419
15,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5,0.440304469813051
43,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4973053292292882
47,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4890241388504358
24,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.5015538627855292
40,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4973583623409553
28,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4807886593817703
8,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4536116880259544
36,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4720560156125455
48,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4561966015646925
16,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.5044981267552149
44,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.454800664446051
32,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4557502432899432
20,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.5034926439579431
21,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4769373498255778
25,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4598451375470499
33,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4153216488291917
45,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4406764825545487
9,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4936895309311813
13,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.4949603311942765
41,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5,0.451644220844307
5,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4760564086712668
37,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4315524464291825
49,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4568410298233676
17,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4481078301815496
29,beta,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4440398350997902
