seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_rasch,rmse_rasch
3,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.4996581196581196,0.466663357461822
1,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.47232865048957,0.4330383214324312
9,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.4120453190220632,0.4787315037393893
11,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6622030479605557,0.4653107677296814
4,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5039669421487604,0.4819118877496942
2,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5375706975491517,0.4546653611079589
0,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5535087719298245,0.4844216201250503
8,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4978409956819913,0.4638342434076548
19,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6532081377151799,0.4427534660072297
30,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4803149606299212,0.4633481464688107
15,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.3554147072854903,0.4824684676554909
27,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5165553796379155,0.4824342301365759
34,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5784328395431193,0.4795190683199162
39,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5453542872897712,0.4979157518301291
42,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5558088483620398,0.4607774650648533
47,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.4745678603920271,0.4815611477485697
7,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.3447107438016529,0.5132808574982743
41,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.3915289256198347,0.4995023217533898
23,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.5603359801220763,0.4544018972534797
43,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.3477035784728092,0.4806986158120113
35,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5439773931472978,0.4609958967297251
40,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4869667253373564,0.464624144667525
31,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6188356164383562,0.4325566819980199
10,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.4571726656233699,0.5052445847656638
18,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4965631469979296,0.4690975331408096
46,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.680416068866571,0.4791614456168739
14,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5008139534883721,0.4727971678704269
26,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5888916439375155,0.4719148132757784
38,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4727615184004636,0.4520965117923048
22,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4240232907588279,0.4639507820697947
33,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.43359375,0.480380724775283
44,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5952925239183812,0.4873956048889777
6,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5840392561983472,0.4632080052389415
13,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5358182877111242,0.477064306248989
29,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.5661938534278959,0.4565903256584047
45,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.6354128214593331,0.4716997004147132
25,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5195985933613517,0.4699597800830878
36,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5777666999002992,0.4401718535279567
24,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.5207036760434818,0.477061042167708
20,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4992280446825901,0.4782299668273458
48,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6570406337848199,0.4782185936619494
32,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.4607142857142857,0.4765673621508099
12,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4323899371069182,0.4884600502710067
49,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5958346221259925,0.4458233095391039
16,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.617311507936508,0.468505429997727
5,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.4225721784776903,0.4936771103620131
17,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.4752918075706338,0.4789767320801221
37,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4977473418633988,0.4768830456436209
21,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.6201261213251621,0.4461233219426202
28,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.49801372336583605,0.45946406195261663
