seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
1,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5,0.4668952008362058
2,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4497664554197998
4,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.477072333607476
0,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4771326281832466
6,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5,0.4701535669252125
30,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4828345198069698
8,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4545191167927901
35,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4483089854348485
27,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.493535798726182
3,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4562698934738219
34,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4675974823554767
7,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4376423978673274
42,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5,0.4653093906911001
43,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4664071982420414
22,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4657328781506756
46,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.460666738609266
47,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4349699261836696
12,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4409339538583022
31,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5,0.4438411934595059
18,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4498457472062237
17,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5,0.4957584239034328
40,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5,0.4494090133443039
19,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5,0.4450985913411435
10,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5,0.4683892928519156
