seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_rasch,rmse_rasch
3,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5126134546796212,0.4657469717706427
1,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,2,0.421083958290528,0.4727770438202897
0,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,2,0.4862102132116611,0.4710624557906073
7,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.4238379150078929,0.4773232376011752
2,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.4948472012180038,0.4588887541166256
15,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5148863169212283,0.4626821861482392
14,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5093301049233252,0.4606734505512481
8,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5341698507477143,0.4643666519759836
19,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5019825305852529,0.4620747196104403
6,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5365739741985589,0.4626698671737771
10,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,2,0.5583337537567838,0.4610242115508197
18,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.4834009313970025,0.4776366588504358
11,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5752645098010654,0.459487590486283
47,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.544460231998763,0.4653386438786532
30,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5351621064467766,0.4708307813333313
35,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5076077976122211,0.4685454240068486
9,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.504359566022113,0.4628726456767963
22,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.4699246874900881,0.4645539029240849
27,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5074984549981848,0.4658718440504472
39,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.550823910398626,0.4600772912977726
23,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5330490148404354,0.4598622145268771
31,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5323555366651785,0.4651155398502963
34,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5040365309537089,0.466843909922582
46,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.512930477366728,0.4649854171681259
26,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,2,0.4220265388914794,0.4663606944112632
43,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5450839885211762,0.4645074541481361
42,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5667786170975158,0.4662920404661715
5,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.4818009889493795,0.4654499717066981
17,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5082376543209877,0.4662242233882738
38,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5091569939347611,0.4607224205081496
37,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.4869250559976878,0.4634445352978494
45,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.499806388286041,0.4690092005935428
32,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,2,0.485481104448473,0.4658992228657697
48,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5166023093929254,0.4566290626334708
12,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5113589312783803,0.4622176706913885
13,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5037901359290706,0.4674755732891799
16,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5002902678830882,0.46617039734747
4,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5028743721366672,0.4675638131331142
36,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5303906642728904,0.4626426676489579
29,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5879347533435584,0.4657895219971135
40,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.471971550933007,0.4624733150361781
20,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.482678044378072,0.4574314712573289
24,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.5684793226961902,0.4637369715976103
25,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,2,0.5851696719934735,0.4526068421413885
21,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,2,0.4751215058294704,0.462481289562446
49,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.4548409115640426,0.4754406905003893
41,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,2,0.4968438622256065,0.4687734280135764
