seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
3,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6074062230967902,0.594812095767813
2,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6120096170275708,0.5950657921567689
1,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.5872001489623999,0.6079142497587453
0,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.545333064066185,0.6017068714444334
4,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5760794419605895,0.629124052823523
6,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.5372502912370021,0.6111637662349412
7,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5981270793632826,0.5746782242159657
42,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.605261060521827,0.629643026442629
46,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6120201559627757,0.5971964644513292
27,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5880761886814414,0.6487322677364554
15,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5629657738565812,0.607398029607567
14,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.532316384180791,0.5944270991407238
5,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.6563252272461083,0.5530371763260282
43,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5377415111541736,0.6119873100442377
39,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5315656384932848,0.5710435910513164
30,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5440924069215393,0.6116358801978918
8,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5187842621648845,0.5941520885437562
47,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6038038220233775,0.5699223006562597
22,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5381542267692448,0.6088043866938126
19,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.6374634905764356,0.4639600480140321
26,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5853558617729366,0.624767403236941
18,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5768294081012328,0.5780559962563905
31,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.5173019928798654,0.5840959984493874
11,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5806046493237859,0.6326662294858957
10,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.6408983127806327,0.6019414723609524
35,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5738068127295153,0.5875091582456973
23,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.5549745591580676,0.5848855047992632
34,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5518056330172895,0.6109646578945318
38,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5779026047050538,0.5854354487717442
32,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5884771998326593,0.6244769291735587
28,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5871347779710161,0.6200264931986528
20,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5937738852566967,0.5614452539830239
12,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.522469434055236,0.5745926243190161
44,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.589969129276441,0.611883550979668
40,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.5734233200774956,0.577717560168141
36,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5734664272890484,0.6317808195007854
29,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.685536708807149,0.5749133573435845
24,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.5130817187669597,0.5797250103189131
49,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6164832700760735,0.6394296752507608
48,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5693471408938815,0.636550623689783
16,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,20,0.6024671173429472,0.5747436148797805
17,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5166244855967078,0.6413586300307426
25,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6125917794414051,0.6007241935076534
33,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5854644127052975,0.6111995330212716
9,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.6553924553114802,0.6001709535560944
45,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6322034814087728,0.553776355357335
37,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,10,0.5663095201230401,0.6181147406549198
41,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.5015882197508947,0.6144327906052784
13,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6204950309279738,0.6062950402665537
21,bernoulli,1,max,1.0,1.0,raw,none,,max,286.0,50,0.6607690686894226,0.4560278286264118
