seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_naive,rmse_naive
3,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4093871580749986
6,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10.0,2.0,0.5,0.4235932714669941
5,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4155122101983082
4,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4147203186375721
8,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4118400344420521
7,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.3986496080283478
14,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.401553516806971
10,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4140553563779317
11,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4118845177044244
47,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.3920389144713824
26,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.430408860625427
38,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4137578959446305
15,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.4131969546215984
34,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4055063520573704
46,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4174168945449468
18,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10.0,2.0,0.5,0.4040389228603849
30,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10.0,2.0,0.5,0.4007845731601174
22,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4250875649283029
42,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4127503783953831
39,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4219335409449664
31,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.3978347332802858
27,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.41520838256902
35,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4156629831841215
19,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10.0,2.0,0.5,0.3933463479908869
43,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4345683751438118
23,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4269207920350707
32,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.3938989198722179
16,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4228657286211443
40,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.3990716002344511
29,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.412462941585845
24,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10.0,2.0,0.5,0.4437460032806937
12,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.4134057252341205
36,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4199465012537343
28,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.4365038942062825
48,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.3898998204886117
20,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4062724840838026
44,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.3975103474115937
49,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.4155902926932753
9,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4008235916466038
17,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.4053187701138086
13,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.4312559286345815
21,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.3954037187899719
37,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.4178496217749457
41,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.3895875505569321
45,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4276585969034732
25,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5,0.4322203113846815
33,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5,0.4220242589479562
1,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5,0.4279554135604247
2,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5,0.4086271210385246
0,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5,0.4277304383536561
