seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7357184062139457,0.4014498029270085
8,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6917175629375838,0.3961090792185772
1,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6926955040901527,0.414845284496853
16,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7144051360930916,0.397167819426194
24,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6837999839891126,0.4277271635936936
2,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,2,0.7694254950600916,0.3628984916499566
22,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7098637440758293,0.4083932497706644
4,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6949639461058922,0.401799009118299
49,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7287768019985593,0.3909394333850308
34,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,2,0.7349287477297072,0.390373816793446
35,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,2,0.7212584033855698,0.3835843926121678
3,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6595907560842145,0.4048202002509879
5,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6629640408744017,0.4081624024443483
20,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,2,0.761269340535864,0.3640523336079792
28,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6970789042652761,0.4169259476591611
18,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7156500261197246,0.3892524638480804
10,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7292525732003581,0.3913187351726222
44,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6798031072142747,0.3833571082841691
40,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6970531618610747,0.3890588262300273
36,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7017857609918134,0.4084489073324187
32,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6947394446909199,0.3842359857466882
48,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7148533007334964,0.3810330899529782
12,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7073259119169224,0.3983110713457254
9,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,2,0.7040638606676343,0.3927630657873421
6,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6977305432306031,0.4055658411637027
17,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7030428552688671,0.3895445950605768
15,bernoulli,54,none,1.0,1.0,raw,none,,54,31.0,50,2,0.7665067572956096,0.37424581903659
14,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7538807078556033,0.3732593789924799
26,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6798269426535459,0.4150492229339969
38,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,2,0.7174113852314544,0.3893811640550038
25,bernoulli,54,none,1.0,1.0,raw,none,,54,31.0,50,2,0.7759382566585957,0.3845098584551988
33,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6586233198647645,0.4093455886467536
30,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7153610823853843,0.381812482733015
46,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7362949845143272,0.3938409223484522
7,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7449452861952862,0.3748666804472631
42,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.777071827704739,0.3782037928748109
11,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7095543132230764,0.3939625446444827
19,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7564918357248887,0.367880309667711
37,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,2,0.7139048749407712,0.3966028759890556
47,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.6870123332494337,0.3879969117985555
45,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.693828094419204,0.4099327386660121
13,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7470567302910257,0.4026719948736353
27,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7326523254416536,0.3903817182177173
21,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.68748939988292,0.3820307983208543
31,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7348623411628803,0.376184460517556
29,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7171739130434782,0.3891479413689384
41,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,2,0.7380724580273623,0.3636780899123226
39,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,2,0.7378466898954705,0.3941237923361353
43,bernoulli,54,none,1.0,1.0,raw,none,,54,31.0,50,2,0.7348503733584126,0.3932863745433195
23,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,2,0.7194455768446799,0.3943901754019814
