seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
3,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.2562406916207014
2,beta,54,none,1.0,1.0,pca,none,,54,15.0,10,0.5,0.2396556427236999
6,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.3814225361436109
1,beta,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5,0.3399829250669257
5,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5,0.3272628014926039
0,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5,0.3336319653601119
12,beta,54,none,1.0,1.0,pca,none,,54,14.0,20,0.5,0.2455447597819149
4,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.3597257809522268
8,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5,0.3107113312771056
30,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5,0.3108719378030275
23,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.2712722882988937
22,beta,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5,0.3310314609177964
14,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.2501928360613225
26,beta,54,none,1.0,1.0,pca,none,,54,16.0,10,0.5,0.3070608284949602
18,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.2352558511199938
10,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.5,0.2651572456633397
38,beta,54,none,1.0,1.0,pca,none,,54,16.0,10,0.5,0.2755361267321092
34,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.3322043921122305
46,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5,0.3249003817032098
31,beta,54,none,1.0,1.0,pca,none,,54,14.0,10,0.5,0.3245155286034362
42,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.5,0.2651031500991087
27,beta,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5,0.3085799757382215
11,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.5,0.2631729916505452
39,beta,54,none,1.0,1.0,pca,none,,54,14.0,20,0.5,0.32512696152139
19,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5,0.3321038335114857
7,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5,0.2577532786929466
15,beta,54,none,1.0,1.0,pca,none,,54,16.0,20,0.5,0.2705996939167863
35,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.279039971701392
47,beta,54,none,1.0,1.0,pca,none,,54,15.0,10,0.5,0.2766757226854046
43,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.5,0.2793130669868674
20,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.2565598980705477
45,beta,54,none,1.0,1.0,pca,none,,54,14.0,20,0.5,0.2690842280104731
49,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.3575240650947137
24,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.5,0.2766410225857558
9,beta,54,none,1.0,1.0,pca,none,,54,14.0,10,0.5,0.3235000549858789
29,beta,54,none,1.0,1.0,pca,none,,54,14.0,20,0.5,0.3140120166799597
48,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5,0.4213670569083967
44,beta,54,none,1.0,1.0,pca,none,,54,15.0,20,0.5,0.3244601924832851
28,beta,54,none,1.0,1.0,pca,none,,54,13.0,50,0.5,0.3276215960541562
13,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5,0.3467175100406652
40,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.2977073570490838
16,beta,54,none,1.0,1.0,pca,none,,54,14.0,50,0.5,0.3125441758402997
32,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.3573351895633448
25,beta,54,none,1.0,1.0,pca,none,,54,16.0,50,0.5,0.2915078039883166
36,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.3029544768529776
21,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.2617404558660598
41,beta,54,none,1.0,1.0,pca,none,,54,15.0,10,0.5,0.2425419152304481
17,beta,54,none,1.0,1.0,pca,none,,54,14.0,10,0.5,0.2674318874623356
37,beta,54,none,1.0,1.0,pca,none,,54,15.0,50,0.5,0.3272511221448981
33,beta,54,none,1.0,1.0,pca,none,,54,16.0,10,0.5,0.29652876490225905
