seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
0,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.5967595524232331,0.5012051542297931
8,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6210229253835424,0.4812935673202771
1,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6044393363468256,0.4862493428223393
2,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6202240020198053,0.4858162879025678
9,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6504538868053187,0.4690349666334595
28,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6069391932822259,0.4909285990966228
4,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6351820803665067,0.4835335282650694
33,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6169547672383688,0.4799284494487789
36,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6045935368043087,0.4954163589856235
40,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6217462654226573,0.4765689255328138
3,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6483559832738901,0.4748334787255187
19,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6216149564642345,0.4697106531189057
21,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6033603736479843,0.4887375644896975
34,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6231858798709958,0.4771339398686626
47,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6703822871469085,0.4512142805507838
16,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6415811137473297,0.4746674553140418
5,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6501848706321749,0.4563824866252051
6,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6219768880067884,0.4783295717351769
24,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.619384633127103,0.4767790911909971
12,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6345544883091465,0.469362415165327
7,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6365128616784246,0.4678849184991148
32,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6119163993864175,0.4894231946947066
20,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6181386844147598,0.4749211358806508
48,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.5503947329110899,0.5199682362648662
44,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.593722751501751,0.4924136202479042
11,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6188863431576362,0.4862115406183728
23,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6159345889098398,0.4760945946661201
14,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.5788666779285621,0.5021244751099171
22,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6031985790358448,0.4900559788471819
10,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6361568371663939,0.4741637567247602
27,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.5773006670528017,0.5060547852598896
17,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6082757201646091,0.4876190883725022
13,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6442030141405104,0.4732632955455846
26,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6080154974486676,0.4845140626695109
39,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6230906629452038,0.4769317572178835
38,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6244446434191456,0.4710287495270048
37,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6365440394719186,0.4753529097203889
15,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6321210036998387,0.4890110665231473
29,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6482010884526608,0.4657232955253119
46,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6253252216413909,0.4783189953450595
30,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.5877639305347326,0.5050903720064215
31,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.669457115823821,0.4567454985316907
35,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6777832649517037,0.4586413623586985
18,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6379651175400709,0.4822260810661153
43,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6020081213014268,0.4920292403082267
42,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6341481260334074,0.4862232018468063
41,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6170735028725384,0.4873500183670997
49,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.6203904912962187,0.4888907938556452
45,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.646160934859414,0.4677352093264961
25,beta,1,max,1.0,0.05,pca,none,,max,286.0,50,0.5890444290478933,0.48983736414298457
